iter	RMSE
0	148.8990915
1	145.7233189
2	142.6227125
3	139.5920642
4	136.5716135
5	133.5788163
6	131.0315138
7	128.5688759
8	126.3160021
9	123.8178536
10	121.5037401
11	119.4592174
12	117.2583236
13	115.050387
14	112.6047254
15	110.6773118
16	108.7658544
17	106.7157053
18	104.9093001
19	103.0375934
20	101.042816
21	99.19449498
22	97.76309936
23	96.32278174
24	94.48560607
25	92.90132281
26	91.43019113
27	89.75110237
28	88.1544394
29	87.22007703
30	86.0361396
31	84.72107361
32	83.4652708
33	82.24696383
34	81.05691136
35	79.89820848
36	78.87514872
37	78.02410724
38	76.83280389
39	75.91897971
40	75.10037776
41	74.17644052
42	73.24737982
43	72.36622717
44	71.3874716
45	70.49642808
46	69.5855723
47	68.84387176
48	68.04593898
49	67.50960028
50	66.84661902
51	66.03473747
52	65.39925751
53	64.84570821
54	64.29841414
55	63.76448714
56	63.33746631
57	62.81343265
58	62.40800479
59	62.01386022
60	61.54504003
61	61.17596511
62	60.84162574
63	60.34895353
64	59.91255123
65	59.46671014
66	58.96867855
67	58.69714694
68	58.27493596
69	57.88303821
70	57.59591949
71	57.2214945
72	56.91361848
73	56.55811202
74	56.3140967
75	56.03734337
76	55.71027283
77	55.52213909
78	55.27813684
79	54.90516893
80	54.67537543
81	54.42412297
82	54.18732912
83	53.97512582
84	53.84761199
85	53.63767383
86	53.45783461
87	53.24436053
88	53.12210018
89	53.00302615
90	52.8734499
91	52.77384209
92	52.62125727
93	52.5039344
94	52.38368481
95	52.23572153
96	52.10919902
97	52.0284151
98	51.8661463
99	51.70165936
100	51.5458498
101	51.39832223
102	51.26697809
103	51.18949459
104	51.12843469
105	51.02634689
106	50.95701444
107	50.83513789
108	50.70214458
109	50.63815427
110	50.51734412
111	50.35589547
112	50.30012828
113	50.23163537
114	50.17266904
115	50.1059774
116	50.00455566
117	49.98336324
118	49.93068591
119	49.78095531
120	49.71245037
121	49.63578885
122	49.5468318
123	49.44970641
124	49.41165732
125	49.2891546
126	49.23239655
127	49.16934386
128	49.10203374
129	48.9778795
130	48.9484003
131	48.92282057
132	48.88149606
133	48.82274098
134	48.76066788
135	48.73686333
136	48.64949917
137	48.57688596
138	48.51780346
139	48.46515878
140	48.40531267
141	48.35042792
142	48.30679169
143	48.2739216
144	48.24985154
145	48.19705541
146	48.08878152
147	48.07362762
148	48.05370269
149	47.98371761
150	47.94083898
151	47.89083173
152	47.87073745
153	47.83385067
154	47.80884238
155	47.78901883
156	47.77543846
157	47.73615389
158	47.68346802
159	47.63292631
160	47.61085517
161	47.59059287
162	47.53557665
163	47.49481625
164	47.46472801
165	47.45237018
166	47.39462808
167	47.39077771
168	47.33759758
169	47.27957402
170	47.17522577
171	47.16517447
172	47.12827162
173	47.09090207
174	47.06946552
175	47.05355956
176	46.99115249
177	46.97146154
178	46.96290646
179	46.93315002
180	46.89624153
181	46.86869612
182	46.85276095
183	46.81964057
184	46.80988142
185	46.80157969
186	46.7434189
187	46.69923814
188	46.68470281
189	46.63392195
190	46.55316464
191	46.51346179
192	46.48509453
193	46.45736762
194	46.43550501
195	46.42486454
196	46.39370377
197	46.34686433
198	46.31592394
199	46.28778169
200	46.26570655
201	46.22177197
202	46.20532288
203	46.17374412
204	46.16360618
205	46.13094177
206	46.11092421
207	46.10095517
208	46.09068505
209	46.06163397
210	46.05126256
211	46.02668447
212	46.00641903
213	45.9925384
214	45.95756184
215	45.94237829
216	45.93771074
217	45.90798325
218	45.85865272
219	45.84230002
220	45.82455515
221	45.81603428
222	45.75965826
223	45.75444828
224	45.70376988
225	45.68177976
226	45.66666097
227	45.64908954
228	45.58811898
229	45.5693622
230	45.55939614
231	45.52861353
