iter	Passed	Remaining
0	4	2912
1	8	2842
2	30	7011
3	35	6247
4	41	5703
5	46	5355
6	51	5143
7	56	4870
8	61	4714
9	66	4560
10	70	4415
11	75	4322
12	81	4294
13	85	4202
14	90	4113
15	94	4053
16	98	3961
17	102	3888
18	106	3824
19	112	3812
20	116	3753
21	119	3688
22	123	3643
23	128	3609
24	131	3549
25	134	3497
26	138	3462
27	143	3445
28	147	3404
29	150	3369
30	154	3344
31	159	3337
32	163	3307
33	167	3276
34	171	3261
35	176	3262
36	180	3242
37	184	3207
38	188	3201
39	192	3171
40	198	3183
41	201	3158
42	205	3142
43	209	3130
44	213	3111
45	217	3099
46	221	3081
47	225	3068
48	230	3068
49	236	3072
50	241	3076
51	245	3064
52	250	3052
53	254	3043
54	258	3035
55	262	3024
56	267	3023
57	271	3009
58	275	2995
59	279	2980
60	285	2985
61	289	2979
62	293	2962
63	296	2945
64	301	2942
65	305	2931
66	308	2915
67	311	2898
68	316	2893
69	319	2879
70	323	2863
71	326	2848
72	331	2843
73	335	2837
74	338	2824
75	343	2816
76	347	2811
77	351	2800
78	354	2788
79	358	2778
80	362	2773
81	367	2766
82	370	2757
83	374	2743
84	378	2739
85	382	2728
86	385	2719
87	389	2708
88	394	2705
89	398	2700
90	404	2707
91	409	2703
92	413	2697
93	418	2695
94	422	2687
95	427	2688
96	432	2685
97	436	2679
98	440	2673
99	444	2669
100	449	2662
101	454	2661
102	458	2659
103	464	2660
104	467	2649
105	470	2638
106	476	2639
107	480	2633
108	495	2686
109	499	2678
110	502	2667
111	507	2665
112	511	2655
113	514	2644
114	517	2633
115	522	2630
116	527	2629
117	531	2621
118	535	2614
119	539	2609
120	543	2601
121	547	2594
122	554	2601
123	558	2595
124	562	2587
125	565	2577
126	570	2573
127	574	2566
128	577	2557
129	580	2547
130	585	2541
131	589	2536
132	592	2526
133	596	2520
134	601	2517
135	606	2513
136	609	2504
137	613	2499
138	618	2497
139	623	2495
140	627	2486
141	631	2480
142	635	2475
143	639	2468
144	643	2461
145	647	2455
146	652	2453
147	656	2447
148	659	2438
149	663	2434
150	668	2429
151	671	2422
152	675	2414
153	679	2408
154	683	2402
155	686	2395
156	690	2387
157	693	2380
158	698	2376
159	701	2368
160	705	2360
161	708	2352
162	712	2346
163	716	2340
164	719	2333
165	723	2325
166	726	2320
167	731	2315
168	735	2310
169	738	2302
170	742	2296
171	747	2294
172	751	2288
173	754	2280
174	758	2274
175	762	2269
176	765	2262
177	769	2255
178	772	2247
179	776	2244
180	780	2238
181	783	2230
182	787	2226
183	793	2224
184	797	2219
185	801	2215
186	808	2216
187	813	2214
188	817	2210
189	821	2205
190	826	2202
191	830	2197
